"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0003018","vascular process in circulatory system","100/2867","283/18860",0.353356890459364,2.32448934567967,9.50521849683231,3.02621720190509e-17,1.83963743703811e-13,1.29490241323623e-13,"ABCC8/SLC38A5/ATP1A2/CPS1/ADRB1/SLC4A8/FOXC1/ATP2B4/ABCC9/IRAG1/FERMT2/ATP2A3/EDN1/SLC1A3/SLC4A4/LRP2/SLC7A8/SLC7A5/TJP3/COMP/CAV1/SLC1A1/ACTA2/SLC6A4/NHERF1/SLC1A2/SLC38A1/SLC29A1/KAT2B/TACR1/SLC1A4/LEPR/SLC2A1/SLC16A7/ITGB1BP1/TEK/ADRA1A/KCNJ8/LRP1/AVPR2/EDN2/KLF2/ATP1B2/KCNA5/ACE2/PLVAP/LRP3/AKAP12/RAMP2/ROCK2/CD36/EDNRB/SLCO1C1/ITGA9/AGTR1/SLC22A3/ADD3/ADM/ADRA2A/SLC16A12/BMP6/ANGPT1/CBS/LOC102724560/S100A1/ADORA1/SLC29A4/FABP5/GPER1/SVEP1/VSTM4/AVPR1A/ADRB2/NPR1/ZEB2/ADRA1B/PDE3A/LEP/NPPA/P2RY2/HTR1D/CDH5/OXTR/F2R/SLC2A4/CLDN5/ADRA2C/DRD1/PDE2A/SLC38A3/ADRB3/UTS2B/SLC2A10/OCLN/KEL/C2CD4A/C2CD4B/MIR23A/ITGA1/HBB",100
"BP","GO:0030198","extracellular matrix organization","109/2867","331/18860",0.329305135951662,2.16626957239217,9.06348373055487,3.71156886506987e-16,9.08856984368976e-13,6.39735351461873e-13,"PHLDB1/TNFRSF1B/TLL1/GPM6B/FOXC1/COL11A1/TIE1/TGFBR3/FAP/LTBP4/CCDC80/CMA1/TLL2/MMP11/TIMP3/MMP9/FERMT1/RGCC/HAS3/COMP/HPN/CAV2/CAV1/ECM2/ENG/COL1A1/COL12A1/TNR/NID1/FMOD/RECK/LRP1/SOX9/BMP2/TCF15/GFAP/RAMP2/MATN3/PPARG/MATN2/POSTN/MYH11/PDGFRA/COL4A2/LAMC1/IL6/SULF1/MMP13/LOXL4/ADAMTS14/FBLN5/ADAMTS18/P3H4/FKBP10/DPT/ADAMTSL4/SFRP2/NOTCH1/P4HA3/MMP3/ADAM8/ADAMTS1/ADAMTS5/ADAMTS3/ADAMTSL3/CREB3L1/RUNX1/FGFR4/DDR2/ANTXR2/ADAMTS9/EGFLAM/COL1A2/SPINT1/MFAP4/MMP10/GREM1/SPINT2/KLK4/KLK5/TNXB/COL3A1/NPNT/KLK7/CRTAP/COL8A2/ANGPTL7/HPSE2/NDNF/WT1/FLRT2/OLFML2A/ADAMTSL5/TMPRSS6/COL4A1/THSD4/SULF2/LAMA2/MMP1/SLC2A10/SMOC1/COLGALT2/EGFL6/COL5A2/VIT/SERPINB5/COL6A6/ATXN1L/ZNF469",109
"BP","GO:0043062","extracellular structure organization","109/2867","332/18860",0.328313253012048,2.15974466404159,9.02662419658649,4.71476127309585e-16,9.08856984368976e-13,6.39735351461873e-13,"PHLDB1/TNFRSF1B/TLL1/GPM6B/FOXC1/COL11A1/TIE1/TGFBR3/FAP/LTBP4/CCDC80/CMA1/TLL2/MMP11/TIMP3/MMP9/FERMT1/RGCC/HAS3/COMP/HPN/CAV2/CAV1/ECM2/ENG/COL1A1/COL12A1/TNR/NID1/FMOD/RECK/LRP1/SOX9/BMP2/TCF15/GFAP/RAMP2/MATN3/PPARG/MATN2/POSTN/MYH11/PDGFRA/COL4A2/LAMC1/IL6/SULF1/MMP13/LOXL4/ADAMTS14/FBLN5/ADAMTS18/P3H4/FKBP10/DPT/ADAMTSL4/SFRP2/NOTCH1/P4HA3/MMP3/ADAM8/ADAMTS1/ADAMTS5/ADAMTS3/ADAMTSL3/CREB3L1/RUNX1/FGFR4/DDR2/ANTXR2/ADAMTS9/EGFLAM/COL1A2/SPINT1/MFAP4/MMP10/GREM1/SPINT2/KLK4/KLK5/TNXB/COL3A1/NPNT/KLK7/CRTAP/COL8A2/ANGPTL7/HPSE2/NDNF/WT1/FLRT2/OLFML2A/ADAMTSL5/TMPRSS6/COL4A1/THSD4/SULF2/LAMA2/MMP1/SLC2A10/SMOC1/COLGALT2/EGFL6/COL5A2/VIT/SERPINB5/COL6A6/ATXN1L/ZNF469",109
"BP","GO:0045229","external encapsulating structure organization","109/2867","333/18860",0.327327327327327,2.15325894432975,8.98989471755265,5.98030586852427e-16,9.08856984368976e-13,6.39735351461873e-13,"PHLDB1/TNFRSF1B/TLL1/GPM6B/FOXC1/COL11A1/TIE1/TGFBR3/FAP/LTBP4/CCDC80/CMA1/TLL2/MMP11/TIMP3/MMP9/FERMT1/RGCC/HAS3/COMP/HPN/CAV2/CAV1/ECM2/ENG/COL1A1/COL12A1/TNR/NID1/FMOD/RECK/LRP1/SOX9/BMP2/TCF15/GFAP/RAMP2/MATN3/PPARG/MATN2/POSTN/MYH11/PDGFRA/COL4A2/LAMC1/IL6/SULF1/MMP13/LOXL4/ADAMTS14/FBLN5/ADAMTS18/P3H4/FKBP10/DPT/ADAMTSL4/SFRP2/NOTCH1/P4HA3/MMP3/ADAM8/ADAMTS1/ADAMTS5/ADAMTS3/ADAMTSL3/CREB3L1/RUNX1/FGFR4/DDR2/ANTXR2/ADAMTS9/EGFLAM/COL1A2/SPINT1/MFAP4/MMP10/GREM1/SPINT2/KLK4/KLK5/TNXB/COL3A1/NPNT/KLK7/CRTAP/COL8A2/ANGPTL7/HPSE2/NDNF/WT1/FLRT2/OLFML2A/ADAMTSL5/TMPRSS6/COL4A1/THSD4/SULF2/LAMA2/MMP1/SLC2A10/SMOC1/COLGALT2/EGFL6/COL5A2/VIT/SERPINB5/COL6A6/ATXN1L/ZNF469",109
"BP","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","93/2867","279/18860",0.333333333333333,2.19276828275782,8.4982959317744,2.40849900521341e-14,2.92825309053846e-11,2.06116809604052e-11,"CX3CL1/CELSR3/CLDN11/CDH1/CDH19/SCARF1/CELSR1/GPC4/CDH7/PCDHB4/PCDHGA2/IGSF9/CEACAM6/FAT2/CD209/CDH20/CBLN1/PTPRS/CADM4/CDH23/CRTAM/PTK7/PCDHB5/PCDHB7/PCDHB15/PCDH12/PCDHB12/MYOT/BMP2/LRRC4B/DSG3/DSG1/IL1RN/KLF4/CDH11/CDH13/CELSR2/NECTIN4/CDH18/SDK1/HMCN2/ESAM/KIRREL3/ADGRL3/SPARCL1/ROBO4/ROBO3/CXADR/MPZ/CADM3/CLDN1/TGFBR2/CLDN19/PCDH19/CLDN3/LRFN5/RET/CDH16/UMOD/NLGN1/ALCAM/CDH2/PTPRM/SELP/DSG4/CADM2/NECTIN3/CDH4/CDH5/NRXN1/ADIPOQ/CLDN7/CLDN5/PCDH9/EFNA5/SLITRK2/CLDN4/PCDH18/PTPRT/FAT4/PCDHB11/L1CAM/CLDN9/TENM3/PCDHGB6/PCDHGA5/PCDHGA8/PCDHGB4/PCDHGB7/PCDHGB1/PCDHGA3/PCDHGB3/PCDHGA4",93
"BP","GO:1901342","regulation of vasculature development","112/2867","375/18860",0.298666666666667,1.96472038135101,7.98942581196605,2.79825772698372e-13,2.83510145372234e-10,1.99559958950681e-10,"TNMD/PLXND1/HSPB6/ABCC8/CX3CL1/TNFRSF12A/E2F2/STAB1/FYN/DCN/ADGRA2/FOXC1/ATP2B4/TIE1/RAPGEF3/CMA1/NRP1/XBP1/ANGPT4/PPP1R16B/FLT1/RGCC/SFRP1/HOXA5/TSPAN12/CCL24/SERPINE1/ENG/RLN2/CXCL12/MDK/SASH1/QKI/THBS4/FGF1/WNT5A/HYAL1/AKT3/F3/TEK/TNN/ADGRB2/CXCR4/TWIST1/RECK/PTGIS/ID1/RRAS/RHOJ/KLF2/KDR/ADM2/RAMP2/PPARG/EMILIN2/SERPINF1/ROCK2/APLNR/COL4A2/CD36/ADGRB3/SPRY2/IL6/KLF4/SULF1/FGF2/ANXA3/ACVRL1/FBLN5/ITGAX/ERBB2/EPHA2/HSPG2/EFNA3/SFRP2/EPHA1/ADM/HMGA2/VEGFC/PDE3B/ADAMTS1/CXCL13/TSPAN18/CREB3L1/RUNX1/HK2/S100A1/TGFBR2/ADAMTS9/BMPER/JCAD/GREM1/ANGPTL4/CXCL10/NPR1/LRG1/ANGPTL7/CCL11/PTPRM/VEGFB/CD34/LEP/CDH5/CCBE1/CLDN5/FOXO4/THBS2/CXCR3/MIR126/AQP1/APELA/ECSCR",112
"BP","GO:0045765","regulation of angiogenesis","109/2867","365/18860",0.298630136986301,1.96448007797755,7.87808629944814,5.89112646353122e-13,5.11602253882947e-10,3.60111715402322e-10,"TNMD/PLXND1/HSPB6/ABCC8/CX3CL1/TNFRSF12A/E2F2/STAB1/FYN/DCN/ADGRA2/FOXC1/ATP2B4/TIE1/RAPGEF3/CMA1/NRP1/XBP1/ANGPT4/PPP1R16B/FLT1/RGCC/SFRP1/HOXA5/TSPAN12/CCL24/SERPINE1/ENG/RLN2/MDK/SASH1/QKI/THBS4/FGF1/WNT5A/HYAL1/AKT3/F3/TEK/TNN/ADGRB2/TWIST1/RECK/PTGIS/ID1/RRAS/RHOJ/KLF2/KDR/ADM2/RAMP2/PPARG/EMILIN2/SERPINF1/ROCK2/APLNR/COL4A2/CD36/ADGRB3/SPRY2/IL6/KLF4/SULF1/FGF2/ANXA3/ACVRL1/FBLN5/ITGAX/ERBB2/EPHA2/HSPG2/EFNA3/SFRP2/EPHA1/ADM/HMGA2/VEGFC/PDE3B/ADAMTS1/CXCL13/TSPAN18/CREB3L1/RUNX1/HK2/S100A1/TGFBR2/ADAMTS9/BMPER/JCAD/GREM1/ANGPTL4/CXCL10/NPR1/LRG1/CCL11/PTPRM/VEGFB/CD34/LEP/CDH5/CCBE1/CLDN5/FOXO4/THBS2/CXCR3/MIR126/AQP1/APELA/ECSCR",109
"BP","GO:0048568","embryonic organ development","131/2867","472/18860",0.277542372881356,1.82575833712674,7.69245433926699,1.07775414420178e-12,8.01699627042242e-10,5.64308358183342e-10,"USH1C/ALX4/FOXC1/COL11A1/MYO3B/LLGL2/FGFR1/HOXA9/EDN1/GRHL2/WNT11/TBX15/PCSK5/SIX4/NDRG4/EYA1/HPN/HOXA2/HOXA3/HOXA5/RARRES2/ENG/GATA3/CDH23/NHERF1/NKX3-2/FOLR1/BMP5/SOBP/MDFI/PTK7/TBX18/PCDH12/WNT5A/HYAL1/EFEMP1/OTX1/TPO/DLX2/EPAS1/MFAP2/PROX1/MYB/TCF21/PKD2/SATB2/HOXB8/PLS1/HOXA7/TWIST1/HOXC11/STIL/RUNX2/SOX9/OVOL2/KDR/HOXD3/ALDH1A2/E2F8/CDKN1C/HSD17B7/NES/MICAL2/GSC/APLNR/PDGFRA/SPRY2/TFAP2A/TUBB2B/RBP4/LEF1/FBN2/LRIG3/EPHA2/PLK4/OSR1/RSPO3/EGFR/NOTCH1/ADM/ST14/DNAAF1/KIT/GRHL3/FOXH1/TAL1/FLVCR1/PKDCC/MSX1/FZD5/EOMES/TGFBR2/TBX20/HEY1/SOX17/OSR2/CTHRC1/E2F7/SPINT1/MESP1/RBPMS2/IGF2/SPINT2/FOXI1/ZFPM2/HOXD4/KRT8/KRT19/CIMAP3/TPRN/IRX5/SOX11/NECTIN3/FZD2/ASCL2/SOCS3/SLITRK6/PTCH1/TEAD1/WNT7B/PAX5/MYO6/HOXA4/MFAP5/LHFPL5/SOX18/SLC44A4/PLXNA4/CEBPA/APELA/HOXB7",131
"BP","GO:0021700","developmental maturation","108/2867","364/18860",0.296703296703297,1.95180473520201,7.76368404204346,1.18692163898341e-12,8.01699627042242e-10,5.64308358183342e-10,"CFTR/SOX8/CX3CL1/IGF1/MYOC/PTPRN/CAMK2B/ROPN1/FGFR3/EPHA8/RPS6KA2/TRIP13/SCARF1/FGFR1/EDN1/PGR/P2RX5/IGSF9/AURKA/PALM/PLA2G3/SEZ6L/SOX10/XBP1/PABPC1L/FERMT1/CHRDL1/ZDHHC2/SLC17A7/HOXA5/LHX6/GATA3/NEURL1/ZBTB16/CCR6/WNT5A/PCSK4/EPAS1/IGSF21/KIF14/B4GALT6/KCNIP2/MSX2/PAEP/RECK/TCP11/NRN1/RUNX2/BMP2/KLF2/KDR/ALDH1A2/FOXA1/FOXJ1/CDKN1C/ANGPTL8/MAP1B/PPARG/CCNB1/ADGRB3/EDNRB/STXBP1/CCL21/ACVRL1/BRCA2/DIAPH3/FGF7/ROPN1L/LGI4/CABYR/CATSPERT/KCNB1/HOXB13/NPR2/PTH1R/TAL1/FLVCR1/TDRD5/FZD5/TMEM79/DEFB1/RET/GREM1/EPB42/HID1/BNC1/S1PR1/CLEC7A/PDE3A/RND1/PHOSPHO1/CNTNAP2/LEP/SEZ6L2/CDK5R1/IRX5/CDH5/NRXN1/TDRD6/KCNE1/BHLHA15/RFLNB/GLDN/RELN/ARHGEF15/SOX18/ATP6V1G2/CEBPA",108
"BP","GO:0042060","wound healing","126/2867","453/18860",0.278145695364238,1.82972717634096,7.5683484311584,2.48793268494568e-12,1.51241427917848e-09,1.0645733015057e-09,"TFPI/SLC4A1/CX3CL1/TNFRSF12A/CD9/IGF1/F7/ERBB3/MYLK/FERMT2/MCAM/FAP/EDN1/GP6/TYRO3/EPB41L4B/DSP/XBP1/ITPK1/ANGPT4/FERMT1/MYL9/TIMP1/CCN4/COMP/CADM4/TFPI2/CAV1/SERPINE1/ENG/KANK1/SLC6A4/TMEM97/HGFAC/VWF/PTK7/FGF1/WNT5A/ITGB6/FN1/PROC/ANGPTL1/PLA2G4A/F3/PPL/MSX2/PLAU/F13A1/AHNAK/F10/PRRG2/TSPAN8/KDR/PRRG3/ANGPTL6/PRRG1/F12/PPARG/EMILIN2/VAV3/PDGFRA/ANXA1/CD36/PRRG4/IL6/DGKB/STXBP1/ANGPTL2/TLR4/TLN1/FGF2/MMRN1/ACVRL1/ADAMTS18/ERBB2/FKBP10/ARHGEF19/TMEFF2/SERPING1/ADRA2A/SLC7A11/DST/ANGPT1/GRHL3/DMTN/NPR2/TREML1/DDR2/CLDN1/F2RL2/KLKB1/CHMP4C/SVEP1/CLDN3/ANGPTL4/EVPL/COL3A1/P2RY12/LRG1/ANO5/ANGPTL7/CYP4F11/CLEC7A/NDNF/SAA1/VEGFB/C1QTNF1/CD34/SELP/ANO6/TRIM72/F2R/CAV3/TSKU/ADRA2C/PROS1/F8/RASA3/PPARA/PEAR1/CLDN4/OCLN/MFSD2B/AQP1/HBB/FIGNL2",126
"BP","GO:0071695","anatomical structure maturation","90/2867","287/18860",0.313588850174216,2.06288305346554,7.68234151910557,3.18797565515493e-12,1.76179127342608e-09,1.24010727638323e-09,"CFTR/SOX8/CX3CL1/IGF1/MYOC/PTPRN/ROPN1/FGFR3/EPHA8/RPS6KA2/TRIP13/SCARF1/FGFR1/EDN1/PGR/P2RX5/AURKA/PLA2G3/SOX10/XBP1/PABPC1L/FERMT1/HOXA5/LHX6/GATA3/ZBTB16/CCR6/WNT5A/PCSK4/EPAS1/KIF14/B4GALT6/KCNIP2/MSX2/PAEP/RECK/TCP11/RUNX2/BMP2/KLF2/KDR/ALDH1A2/FOXA1/FOXJ1/CDKN1C/ANGPTL8/PPARG/CCNB1/ADGRB3/EDNRB/CCL21/ACVRL1/BRCA2/DIAPH3/ROPN1L/LGI4/CABYR/CATSPERT/KCNB1/HOXB13/NPR2/PTH1R/TAL1/FLVCR1/TDRD5/FZD5/TMEM79/DEFB1/RET/GREM1/EPB42/HID1/BNC1/S1PR1/CLEC7A/PDE3A/RND1/PHOSPHO1/CNTNAP2/LEP/CDK5R1/IRX5/CDH5/TDRD6/KCNE1/BHLHA15/RFLNB/GLDN/SOX18/CEBPA",90
"BP","GO:0061138","morphogenesis of a branching epithelium","69/2867","199/18860",0.346733668341709,2.2809197715119,7.6911134765379,6.78172928181491e-12,3.43551102534607e-09,2.41822188864716e-09,"PLXND1/SOX8/IGF1/TNC/TIE1/LLGL2/CELSR1/FGFR1/EDN1/PGR/GRHL2/ESR1/NRP1/SOX10/SIX4/ESRP2/EYA1/SFRP1/RASIP1/MET/HOXA5/ENG/MDK/VDR/FGF1/WNT5A/PROX1/TCF21/PKD2/MSX2/SOX9/BMP2/KDR/DLL4/FOXA1/SPRY2/SULF1/FGF2/LEF1/FGF7/EPHA2/SFRP2/RSPO3/GPC3/NOTCH1/ADM/ST14/HMGA2/HOXB13/FZD5/TGFBR2/SPRY1/TBX20/SPINT1/GREM1/SPINT2/NPNT/CCL11/CAV3/CSMD1/TACSTD2/CSF1/SOCS3/WT1/PTCH1/COL4A1/NOTCH4/LGR4/HOXB7",69
"BP","GO:0007389","pattern specification process","131/2867","486/18860",0.269547325102881,1.77316447556342,7.31132985987088,1.01826401745437e-11,4.46583471502584e-09,3.14345644047758e-09,"CYP26B1/MEOX1/TLL1/DNAH5/ALX4/FOXC1/DMRT3/HES2/FGFR1/HOXA9/EDN1/LRP2/WNT11/AURKA/TBX5/EFNB1/TLL2/PCSK5/NRP1/MID1/CHRDL1/NDRG4/EYA1/SFRP1/HOXA2/HOXA3/HOXA5/HOXA6/MEOX2/ENG/WNT3/NKX3-2/ZBTB16/FOLR1/BMP5/MDFI/TBX18/FGF1/WNT5A/OTX1/DLX2/PKD2/SATB2/HOXB8/MSX2/HOXA7/DNAI1/HOXC11/STIL/BMP2/OVOL2/TCF15/HOXD3/DLL4/ALDH1A2/FOXA1/FOXJ1/MICAL2/GSC/BHLHE40/MEIS2/LRP4/APLNR/EMX1/CFC1/CFC1B/LMX1B/SMAD6/FGF2/BMPR1B/SHROOM3/LEF1/ACVRL1/PCSK6/DOP1B/CELSR2/LEFTY2/OSR1/SFRP2/DAAM2/GPC3/NOTCH1/ENKUR/DNAAF1/ETS2/GRHL3/PKD1L1/SIM2/PIERCE1/FOXH1/TDRD5/MSX1/FZD5/EOMES/TGFBR2/SPRY1/TBX20/HEY1/SOX17/OSR2/DPCD/MESP1/GREM1/DNAAF3/ZEB2/HOXD4/EMX2/IRX1/SOSTDC1/CFAP53/DMRT2/CIMAP3/CIROZ/IRX3/ERBB4/TDRD6/HOXC10/RIPPLY3/WT1/PTCH1/CYP26C1/WNT7B/RELN/XRCC2/HOXA4/ODAD3/ASPH/SOX18/CFAP45/HOXA10/HOXB7",131
"BP","GO:0050673","epithelial cell proliferation","133/2867","496/18860",0.268145161290323,1.7639406145572,7.30003603655425,1.05085097700399e-11,4.46583471502584e-09,3.14345644047758e-09,"TNMD/IGF1/FLT4/PTPRN/NGFR/ERBB3/TIE1/TGFBR3/LIMS2/RAP1GAP/FGFR1/FAP/PGR/ESR1/NRP1/XBP1/SIX4/FERMT1/PPP1R16B/FLT1/RGCC/ESRP2/EYA1/SFRP1/HPN/CAV2/CAV1/HOXA5/CCL24/ENG/GATA3/CXCL12/MDK/VDR/IL26/BMP5/THBS4/FGF1/WNT5A/TACR1/AKT3/F3/PROX1/KLF9/ITGB1BP1/TEK/TNFSF11/NR4A1/RUNX2/EFNB2/SOX9/OVOL2/GDF5/NR1D1/STAT5A/BCL11B/ZFP36/KDR/FOXP2/DLL4/ALDH1A2/CDKN1C/PPARG/SERPINF1/APLNR/LAMC1/EDNRB/IL6/CCN3/SULF1/FGF2/ACVRL1/BRCA2/FGF7/MARVELD3/CDH13/ERBB2/EPHA2/HSPG2/OSR1/AGTR1/SFRP2/EGFR/GPC3/NFIB/CDKN2B/NOTCH1/HMGA2/VEGFC/DAB2/BMP6/KIT/CLDN1/FABP7/BMPER/OSR2/VSTM4/JCAD/IGF2/ATOH8/ZEB2/SDR16C5/LRG1/COL8A2/SCG2/CCL11/EGFL7/MMRN2/PTPRM/VEGFB/CD34/LEP/KDF1/SFN/SOX11/FUT2/JUN/ERBB4/GPBAR1/IQGAP3/TACSTD2/PTCH1/IRS2/CXCR3/SULF2/MIR342/MIR126/LGR4/HMGN1/SERPINB5/MIR23A/NME1/APELA",133
"BP","GO:0072001","renal system development","99/2867","334/18860",0.296407185628743,1.94985682628465,7.41564207429177,1.10194967470616e-11,4.46583471502584e-09,3.14345644047758e-09,"CYP26B1/PLXND1/SOX8/CRLF1/FOXC1/FGFR1/EDN1/LRP2/WNT11/CYP26A1/PCSK5/NRP1/UPK3A/SIX4/MMP9/EYA1/SFRP1/EZH2/GATA3/ACTA2/ZBTB16/TNS2/SIM1/PTK7/TBX18/FGF1/WNT5A/NID1/PROX1/CENPF/TCF21/PKD2/EPCAM/HELLS/TEK/EGR1/KCNJ8/CAT/HOXC11/SOX4/EFNB2/SOX9/BMP2/WNK4/ALDH1A2/FOXJ1/CDKN1C/ASS1/SERPINF1/LRP4/PDGFRA/EDNRB/TFAP2A/SULF1/SMAD6/PLCE1/RBP4/FGF2/ENPEP/MYOCD/OSR1/AGTR1/GPC3/NOTCH1/KIRREL3/BMP6/ANGPT1/ADAMTS1/KIF26B/KLF15/SPRY1/DACT2/BMPER/SOX17/OSR2/RET/GREM1/NPNT/PCSK9/UMOD/EMX2/IRX1/CD34/SOX11/IRX3/ERBB4/ADIPOQ/TACSTD2/WT1/PTCH1/COL4A1/WNT7B/MME/SULF2/KANK2/POU3F3/LGR4/AQP1/HOXB7",99
"BP","GO:0050678","regulation of epithelial cell proliferation","116/2867","416/18860",0.278846153846154,1.83433500576856,7.28564124349518,1.55744238707493e-11,5.9173076693928e-09,4.16513375227603e-09,"TNMD/IGF1/FLT4/PTPRN/NGFR/ERBB3/TIE1/TGFBR3/LIMS2/RAP1GAP/FGFR1/PGR/NRP1/XBP1/SIX4/PPP1R16B/FLT1/RGCC/ESRP2/EYA1/SFRP1/HPN/CAV2/CAV1/HOXA5/CCL24/ENG/GATA3/CXCL12/MDK/VDR/IL26/BMP5/THBS4/FGF1/WNT5A/TACR1/AKT3/F3/PROX1/KLF9/TEK/NR4A1/RUNX2/EFNB2/SOX9/OVOL2/GDF5/NR1D1/STAT5A/BCL11B/ZFP36/KDR/FOXP2/DLL4/ALDH1A2/CDKN1C/PPARG/SERPINF1/APLNR/LAMC1/EDNRB/SULF1/FGF2/ACVRL1/BRCA2/FGF7/MARVELD3/CDH13/ERBB2/HSPG2/OSR1/AGTR1/SFRP2/EGFR/GPC3/NFIB/CDKN2B/NOTCH1/HMGA2/VEGFC/DAB2/BMP6/CLDN1/OSR2/JCAD/IGF2/ATOH8/LRG1/SCG2/CCL11/EGFL7/MMRN2/PTPRM/VEGFB/LEP/KDF1/SFN/SOX11/FUT2/JUN/ERBB4/GPBAR1/IQGAP3/TACSTD2/PTCH1/IRS2/CXCR3/SULF2/MIR342/MIR126/HMGN1/SERPINB5/MIR23A/NME1/APELA",116
"BP","GO:0051216","cartilage development","72/2867","216/18860",0.333333333333333,2.19276828275782,7.4648591673348,2.0060780093713e-11,7.17349895233419e-09,5.04935424649804e-09,"COL11A1/FGFR3/PITX1/FGFR1/EDN1/EPYC/WNT11/TIMP1/CCN4/TRPS1/COMP/HOXA3/HOXA5/OGN/GATA3/COL1A1/NKX3-2/ZBTB16/MDK/SOX6/FGF6/BMP5/GPLD1/GHR/WNT5A/HYAL1/EFEMP1/DLX2/NR5A2/SATB2/MSX2/RUNX2/SOX9/BMP2/GDF5/THRA/HOXD3/MATN3/SOX5/CCN3/SULF1/MMP13/FGF2/BMPR1B/ACVRL1/MBOAT2/OSR1/SFRP2/NFIB/HMGA2/BMP3/BMP6/RUNX1/NPR2/CBS/LOC102724560/PTH1R/PKDCC/MSX1/TGFBR2/POC1A/OSR2/ZNF219/GREM1/COL3A1/LEP/BGN/TSKU/BMP8A/RFLNB/WNT7B/SULF2",72
"BP","GO:0061448","connective tissue development","92/2867","307/18860",0.299674267100977,1.97134868417315,7.2651649615068,3.04992628451185e-11,1.03002788241931e-08,7.2502633605501e-09,"SOX8/IGF1/COL11A1/DGAT2/FGFR3/PITX1/FGFR1/EDN1/EPYC/WNT11/XBP1/TIMP1/CCN4/TRPS1/COMP/HOXA3/HOXA5/OGN/GATA3/ACTA2/COL1A1/NKX3-2/PPARGC1A/ZBTB16/MDK/SOX6/FGF6/BMP5/GPLD1/GHR/WNT5A/HYAL1/EFEMP1/DLX2/NR5A2/SATB2/MSX2/EGR1/RUNX2/SOX9/BMP2/GDF5/THRA/HOXD3/FOXA1/MATN3/PPARG/SOX5/CCN3/SULF1/MMP13/FGF2/BMPR1B/ACVRL1/RORC/MBOAT2/OSR1/SFRP2/NFIB/NOTCH1/HMGA2/BMP3/BMP6/RUNX1/NPR2/CBS/LOC102724560/PTH1R/PKDCC/MSX1/TGFBR2/POC1A/OSR2/ZNF219/GREM1/COL3A1/ABHD15/ID4/CD34/LEP/LPL/PLAAT3/UMODL1/BGN/TSKU/BMP8A/RFLNB/CSF1/WT1/WNT7B/SULF2/EBF2",92
"BP","GO:0001763","morphogenesis of a branching structure","71/2867","214/18860",0.331775700934579,2.18252170199727,7.36599423513571,3.52623643301896e-11,1.12821006717486e-08,7.94135795026154e-09,"PLXND1/SOX8/IGF1/TNC/TIE1/LLGL2/CELSR1/FGFR1/EDN1/PGR/GRHL2/ESR1/NRP1/SOX10/SIX4/ESRP2/EYA1/SFRP1/RASIP1/MET/HOXA5/ENG/MDK/VDR/FGF1/WNT5A/DLX2/PROX1/TCF21/PKD2/MSX2/SOX9/BMP2/KDR/DLL4/FOXA1/SPRY2/SULF1/FGF2/LEF1/FGF7/EPHA2/SFRP2/RSPO3/GPC3/NOTCH1/ADM/ST14/HMGA2/HOXB13/FZD5/TGFBR2/SPRY1/TBX20/SPINT1/GREM1/SPINT2/NPNT/CCL11/CAV3/CSMD1/TACSTD2/CSF1/SOCS3/WT1/PTCH1/COL4A1/NOTCH4/LGR4/HOXB7/FIGNL2",71
"BP","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","60/2867","168/18860",0.357142857142857,2.34939458866909,7.4383040550574,3.95131588518318e-11,1.20100246330143e-08,8.45373635435242e-09,"CELSR3/CDH1/CDH19/CELSR1/CDH7/PCDHB4/PCDHGA2/IGSF9/CEACAM6/FAT2/CDH20/CADM4/CDH23/PTK7/PCDHB5/PCDHB7/PCDHB15/PCDH12/PCDHB12/MYOT/DSG3/DSG1/CDH11/CDH13/CELSR2/NECTIN4/CDH18/SDK1/HMCN2/ESAM/KIRREL3/ROBO4/ROBO3/CADM3/PCDH19/RET/CDH16/CDH2/PTPRM/DSG4/CADM2/NECTIN3/CDH4/CDH5/PCDH9/PCDH18/PTPRT/FAT4/PCDHB11/L1CAM/TENM3/PCDHGB6/PCDHGA5/PCDHGA8/PCDHGB4/PCDHGB7/PCDHGB1/PCDHGA3/PCDHGB3/PCDHGA4",60
