ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,93/2867,279/18860,0.333333333333333,2.19276828275782,8.4982959317744,2.40849900521341e-14,2.9282530905384595e-11,2.06116809604052e-11,CX3CL1/CELSR3/CLDN11/CDH1/CDH19/SCARF1/CELSR1/GPC4/CDH7/PCDHB4/PCDHGA2/IGSF9/CEACAM6/FAT2/CD209/CDH20/CBLN1/PTPRS/CADM4/CDH23/CRTAM/PTK7/PCDHB5/PCDHB7/PCDHB15/PCDH12/PCDHB12/MYOT/BMP2/LRRC4B/DSG3/DSG1/IL1RN/KLF4/CDH11/CDH13/CELSR2/NECTIN4/CDH18/SDK1/HMCN2/ESAM/KIRREL3/ADGRL3/SPARCL1/ROBO4/ROBO3/CXADR/MPZ/CADM3/CLDN1/TGFBR2/CLDN19/PCDH19/CLDN3/LRFN5/RET/CDH16/UMOD/NLGN1/ALCAM/CDH2/PTPRM/SELP/DSG4/CADM2/NECTIN3/CDH4/CDH5/NRXN1/ADIPOQ/CLDN7/CLDN5/PCDH9/EFNA5/SLITRK2/CLDN4/PCDH18/PTPRT/FAT4/PCDHB11/L1CAM/CLDN9/TENM3/PCDHGB6/PCDHGA5/PCDHGA8/PCDHGB4/PCDHGB7/PCDHGB1/PCDHGA3/PCDHGB3/PCDHGA4,93
BP,GO:0048568,embryonic organ development,131/2867,472/18860,0.277542372881356,1.82575833712674,7.69245433926699,1.0777541442017799e-12,8.01699627042242e-10,5.64308358183342e-10,USH1C/ALX4/FOXC1/COL11A1/MYO3B/LLGL2/FGFR1/HOXA9/EDN1/GRHL2/WNT11/TBX15/PCSK5/SIX4/NDRG4/EYA1/HPN/HOXA2/HOXA3/HOXA5/RARRES2/ENG/GATA3/CDH23/NHERF1/NKX3-2/FOLR1/BMP5/SOBP/MDFI/PTK7/TBX18/PCDH12/WNT5A/HYAL1/EFEMP1/OTX1/TPO/DLX2/EPAS1/MFAP2/PROX1/MYB/TCF21/PKD2/SATB2/HOXB8/PLS1/HOXA7/TWIST1/HOXC11/STIL/RUNX2/SOX9/OVOL2/KDR/HOXD3/ALDH1A2/E2F8/CDKN1C/HSD17B7/NES/MICAL2/GSC/APLNR/PDGFRA/SPRY2/TFAP2A/TUBB2B/RBP4/LEF1/FBN2/LRIG3/EPHA2/PLK4/OSR1/RSPO3/EGFR/NOTCH1/ADM/ST14/DNAAF1/KIT/GRHL3/FOXH1/TAL1/FLVCR1/PKDCC/MSX1/FZD5/EOMES/TGFBR2/TBX20/HEY1/SOX17/OSR2/CTHRC1/E2F7/SPINT1/MESP1/RBPMS2/IGF2/SPINT2/FOXI1/ZFPM2/HOXD4/KRT8/KRT19/CIMAP3/TPRN/IRX5/SOX11/NECTIN3/FZD2/ASCL2/SOCS3/SLITRK6/PTCH1/TEAD1/WNT7B/PAX5/MYO6/HOXA4/MFAP5/LHFPL5/SOX18/SLC44A4/PLXNA4/CEBPA/APELA/HOXB7,131
BP,GO:0042060,wound healing,126/2867,453/18860,0.278145695364238,1.82972717634096,7.5683484311584,2.48793268494568e-12,1.5124142791784802e-09,1.0645733015057e-09,TFPI/SLC4A1/CX3CL1/TNFRSF12A/CD9/IGF1/F7/ERBB3/MYLK/FERMT2/MCAM/FAP/EDN1/GP6/TYRO3/EPB41L4B/DSP/XBP1/ITPK1/ANGPT4/FERMT1/MYL9/TIMP1/CCN4/COMP/CADM4/TFPI2/CAV1/SERPINE1/ENG/KANK1/SLC6A4/TMEM97/HGFAC/VWF/PTK7/FGF1/WNT5A/ITGB6/FN1/PROC/ANGPTL1/PLA2G4A/F3/PPL/MSX2/PLAU/F13A1/AHNAK/F10/PRRG2/TSPAN8/KDR/PRRG3/ANGPTL6/PRRG1/F12/PPARG/EMILIN2/VAV3/PDGFRA/ANXA1/CD36/PRRG4/IL6/DGKB/STXBP1/ANGPTL2/TLR4/TLN1/FGF2/MMRN1/ACVRL1/ADAMTS18/ERBB2/FKBP10/ARHGEF19/TMEFF2/SERPING1/ADRA2A/SLC7A11/DST/ANGPT1/GRHL3/DMTN/NPR2/TREML1/DDR2/CLDN1/F2RL2/KLKB1/CHMP4C/SVEP1/CLDN3/ANGPTL4/EVPL/COL3A1/P2RY12/LRG1/ANO5/ANGPTL7/CYP4F11/CLEC7A/NDNF/SAA1/VEGFB/C1QTNF1/CD34/SELP/ANO6/TRIM72/F2R/CAV3/TSKU/ADRA2C/PROS1/F8/RASA3/PPARA/PEAR1/CLDN4/OCLN/MFSD2B/AQP1/HBB/FIGNL2,126
BP,GO:0050673,epithelial cell proliferation,133/2867,496/18860,0.268145161290323,1.7639406145572,7.30003603655425,1.05085097700399e-11,4.46583471502584e-09,3.1434564404775803e-09,TNMD/IGF1/FLT4/PTPRN/NGFR/ERBB3/TIE1/TGFBR3/LIMS2/RAP1GAP/FGFR1/FAP/PGR/ESR1/NRP1/XBP1/SIX4/FERMT1/PPP1R16B/FLT1/RGCC/ESRP2/EYA1/SFRP1/HPN/CAV2/CAV1/HOXA5/CCL24/ENG/GATA3/CXCL12/MDK/VDR/IL26/BMP5/THBS4/FGF1/WNT5A/TACR1/AKT3/F3/PROX1/KLF9/ITGB1BP1/TEK/TNFSF11/NR4A1/RUNX2/EFNB2/SOX9/OVOL2/GDF5/NR1D1/STAT5A/BCL11B/ZFP36/KDR/FOXP2/DLL4/ALDH1A2/CDKN1C/PPARG/SERPINF1/APLNR/LAMC1/EDNRB/IL6/CCN3/SULF1/FGF2/ACVRL1/BRCA2/FGF7/MARVELD3/CDH13/ERBB2/EPHA2/HSPG2/OSR1/AGTR1/SFRP2/EGFR/GPC3/NFIB/CDKN2B/NOTCH1/HMGA2/VEGFC/DAB2/BMP6/KIT/CLDN1/FABP7/BMPER/OSR2/VSTM4/JCAD/IGF2/ATOH8/ZEB2/SDR16C5/LRG1/COL8A2/SCG2/CCL11/EGFL7/MMRN2/PTPRM/VEGFB/CD34/LEP/KDF1/SFN/SOX11/FUT2/JUN/ERBB4/GPBAR1/IQGAP3/TACSTD2/PTCH1/IRS2/CXCR3/SULF2/MIR342/MIR126/LGR4/HMGN1/SERPINB5/MIR23A/NME1/APELA,133
BP,GO:0072001,renal system development,99/2867,334/18860,0.296407185628743,1.94985682628465,7.41564207429177,1.1019496747061599e-11,4.46583471502584e-09,3.1434564404775803e-09,CYP26B1/PLXND1/SOX8/CRLF1/FOXC1/FGFR1/EDN1/LRP2/WNT11/CYP26A1/PCSK5/NRP1/UPK3A/SIX4/MMP9/EYA1/SFRP1/EZH2/GATA3/ACTA2/ZBTB16/TNS2/SIM1/PTK7/TBX18/FGF1/WNT5A/NID1/PROX1/CENPF/TCF21/PKD2/EPCAM/HELLS/TEK/EGR1/KCNJ8/CAT/HOXC11/SOX4/EFNB2/SOX9/BMP2/WNK4/ALDH1A2/FOXJ1/CDKN1C/ASS1/SERPINF1/LRP4/PDGFRA/EDNRB/TFAP2A/SULF1/SMAD6/PLCE1/RBP4/FGF2/ENPEP/MYOCD/OSR1/AGTR1/GPC3/NOTCH1/KIRREL3/BMP6/ANGPT1/ADAMTS1/KIF26B/KLF15/SPRY1/DACT2/BMPER/SOX17/OSR2/RET/GREM1/NPNT/PCSK9/UMOD/EMX2/IRX1/CD34/SOX11/IRX3/ERBB4/ADIPOQ/TACSTD2/WT1/PTCH1/COL4A1/WNT7B/MME/SULF2/KANK2/POU3F3/LGR4/AQP1/HOXB7,99
BP,GO:0061448,connective tissue development,92/2867,307/18860,0.299674267100977,1.97134868417315,7.2651649615068,3.0499262845118494e-11,1.03002788241931e-08,7.2502633605501e-09,SOX8/IGF1/COL11A1/DGAT2/FGFR3/PITX1/FGFR1/EDN1/EPYC/WNT11/XBP1/TIMP1/CCN4/TRPS1/COMP/HOXA3/HOXA5/OGN/GATA3/ACTA2/COL1A1/NKX3-2/PPARGC1A/ZBTB16/MDK/SOX6/FGF6/BMP5/GPLD1/GHR/WNT5A/HYAL1/EFEMP1/DLX2/NR5A2/SATB2/MSX2/EGR1/RUNX2/SOX9/BMP2/GDF5/THRA/HOXD3/FOXA1/MATN3/PPARG/SOX5/CCN3/SULF1/MMP13/FGF2/BMPR1B/ACVRL1/RORC/MBOAT2/OSR1/SFRP2/NFIB/NOTCH1/HMGA2/BMP3/BMP6/RUNX1/NPR2/CBS/LOC102724560/PTH1R/PKDCC/MSX1/TGFBR2/POC1A/OSR2/ZNF219/GREM1/COL3A1/ABHD15/ID4/CD34/LEP/LPL/PLAAT3/UMODL1/BGN/TSKU/BMP8A/RFLNB/CSF1/WT1/WNT7B/SULF2/EBF2,92
BP,GO:0048732,gland development,122/2867,454/18860,0.268722466960352,1.76773830724529,7.0108332304362,6.52882121167688e-11,1.80403200662654e-08,1.26984010648165e-08,PLXND1/FKBP4/IGF1/CPS1/CDH1/TNC/FOXC1/ATP2C2/PITX1/TGFBR3/POLB/LIMS2/RAP1GAP/FGFR1/HOXA9/EDN1/PGR/WNT11/AURKA/ESR1/NRP1/SOX10/XBP1/SIX4/ESRP2/SLC7A5/SFRP1/LSR/HPN/CAV1/MET/HOXA3/HOXA5/EZH2/GATA3/NEURL1/WNT3/NHERF1/MDK/VDR/SLC29A1/PRLR/NR3C1/WNT5A/NR5A2/PROX1/MYB/TCF21/PKD2/TGFB3/CRHR1/MSX2/TNFSF11/SOCS2/PCK1/SOX9/BMP2/THRA/STAT5A/BCL11B/HOXD3/ALDH1A2/E2F8/FOXA1/CDO1/CDKN1C/ASS1/SERPINF1/PDGFRA/HNF1A/IL6/SULF1/FGF2/LEF1/BRCA2/FGF7/SLC6A3/EPHA2/IGSF3/EGFR/NFIB/NOTCH1/HMGA2/DNAAF1/EDA/HOXB13/HK2/FOXH1/INHBB/MSX1/CLDN1/TGFBR2/CA3/HSPA12A/E2F7/MESP1/IGF2/PCSK9/FASN/SOSTDC1/CCL11/ID4/INSM1/STAT5B/JUN/ERBB4/OXTR/CAV3/CSMD1/IQGAP3/CSF1/WT1/PTCH1/IRS2/PPARA/WNT7B/SULF2/NOTCH4/SERPINB5/NME1/CEBPA/HOXA10,122
BP,GO:0001659,temperature homeostasis,63/2867,186/18860,0.338709677419355,2.22813551312488,7.12676260794159,1.68398097520261e-10,3.7914519808358e-08,2.66876517122753e-08,NR1H3/ADRB1/PTGER3/PTGS2/IGF2BP2/SCD/ZNF423/NOVA2/CAV1/PPARGC1A/QKI/LAMA4/NPR3/PRLR/ACADL/EPAS1/LEPR/MFAP2/ELOVL3/TNFSF11/EGR1/CXCR4/G0S2/OVOL2/ID1/THRA/NR1D1/EDN2/PEMT/LPIN1/CD36/EDNRB/TLR4/HADH/NOVA1/SFXN5/PTH2R/LCN2/NOTCH1/IL18/FOXO1/ACSL1/ADAMTS5/PLCL2/ALPL/ADORA1/ABHD6/FABP5/ALDH1A1/ADRB2/FABP4/KSR2/LEP/CIDEA/HOXC10/OXTR/ADIPOQ/ABAT/DRD1/FFAR4/ADRB3/LGR4/EBF2,63
BP,GO:0003012,muscle system process,124/2867,485/18860,0.255670103092783,1.68187587873383,6.44125853805616,1.3758385245757902e-09,2.4050694921305e-07,1.69290438792919e-07,ABCC8/SCN4A/IGF1/ATP1A2/TNFRSF1B/MYOC/PTGER3/CAMK2B/ATP2B4/MYLK/ABCC9/IRAG1/ACACB/EDN1/CACNA1S/DSP/P2RX6/MYL9/SNTA1/JPH1/TNNT1/COMP/CAV1/EZH2/ACTA2/SGCA/CACNG1/MYH1/CRYAB/ADGRD1/NPR3/FGF12/TACR1/RGS4/CASQ2/KCNIP2/MYOT/ADRA1A/KCNJ8/SSPN/EDN2/GNAI1/TNNI3/KCNA5/CNN1/ACE2/HRC/TNNT3/CKMT2/PPARG/MYH11/ROCK2/SPX/APLNR/EDNRB/SCN2A/BIN1/KLF4/TMOD1/SULF1/MYOCD/ATP1B1/STAC/ANK2/MLIP/GSN/NOTCH1/ADRA2A/FOXO1/KCNE4/UTRN/SCN3A/CACNA2D1/CLIC2/CACNA1D/KIT/PDE9A/MYL3/CCDC78/KCNJ3/LMOD1/ADORA1/KLF15/PI16/TBX20/PGAM2/GPER1/CA3/SCN11A/NPNT/ADRB2/SCN9A/ADRA1B/NMUR1/ORMDL3/VEGFB/LEP/DES/NPPA/SCN4B/TRIM72/HTR1D/KCNE1/OXTR/F2R/SYNM/CAV3/KCNB2/ABAT/ADRA2C/DRD1/NPY2R/PPARA/MYMK/SULF2/SCN8A/ANXA6/MB/ASPH/PLN/RYR3/DMD/MIR23A/FXYD1,124
BP,GO:0001503,ossification,118/2867,455/18860,0.259340659340659,1.70602191669509,6.45452338187818,1.3935950166032601e-09,2.4050694921305e-07,1.69290438792919e-07,SOX8/IGF1/MYOC/VCAN/TNC/GPM6B/FOXC1/ROGDI/FGFR3/FSTL3/FERMT2/WNT11/BAMBI/CHRDL1/SFRP1/CCN4/COMP/HOXA2/ASPN/WNT3/COL1A1/ZBTB16/MDK/CYP27B1/VDR/BMP5/GPLD1/WNT5A/TACR1/SPP1/SATB2/MSX2/TNFSF11/SMAD9/CAT/TWIST1/TNFAIP6/RUNX2/SOX9/BMP2/GDF5/ID1/THRA/PTPRB/LRP3/KREMEN2/PPARG/KL/RRAS2/LRP4/IL6/CCN3/TFAP2A/MMP13/SMAD6/FGF2/BMPR1B/LEF1/FBN2/CDH11/EPHA2/TUFT1/OSR1/SFRP2/SCUBE3/EGFR/GPC3/NOTCH1/VEGFC/CRIM1/IGSF10/BMP3/BMP6/CREB3L1/RUNX1/NPR2/CBS/LOC102724560/PTH1R/DHRS3/ALPL/DDR2/PKDCC/CLEC3B/COL1A2/OSR2/CTHRC1/CLEC3A/GREM1/IGF2/NPNT/ADRB2/FASN/S1PR1/ID4/PHOSPHO1/LEP/SOX11/ANO6/TMEM64/PENK/BMP8A/RFLNB/CSF1/NOTUM/TMT1A/PTCH1/FFAR4/ISG15/WNT7B/FZD9/SMOC1/RORB/LGR4/CEBPD/TWIST2/CEBPA/CLEC5A,118
BP,GO:0042063,gliogenesis,98/2867,357/18860,0.274509803921569,1.80580917403585,6.5080884876547,1.4638521337198302e-09,2.4050694921305e-07,1.69290438792919e-07,SOX8/ABCC8/CX3CL1/CD9/FYN/IGF1/VIM/TNFRSF1B/MYOC/VCAN/GPM6B/ERBB3/LRP2/GSTP1/PHGDH/TREM2/SOX10/SUN2/E2F1/SLC7A5/METRN/NDRG1/PTPRZ1/EZH2/MDK/SOX6/QKI/NR3C1/DLX2/LEPR/B4GALT6/MYB/CLU/CXCR4/CDKN2C/LRP1/PLP1/NDP/SOX4/SOX9/BMP2/NR1D1/RRAS/PTPRB/ATP1B2/GFAP/MATN2/WASF3/RRAS2/DTX1/EMX1/IL6/BIN1/TLR4/IL33/FGF2/LEF1/NTRK3/ARSG/ERBB2/CERS2/TNFRSF21/DAAM2/TTBK1/NFIB/NTRK2/NOTCH1/HMGA2/VEGFC/LGI4/APCDD1/S100B/TAL1/PLPP3/EOMES/KLF15/SPINT1/COL3A1/P2RY12/ZEB2/CDK1/PFKFB3/CDH2/TPPP/ID4/CERS6/CSPG4/BOK/CDK5R1/SOX11/PENK/NDN/ASCL2/CSF1/DRD1/DNER/RELN/LAMA2,98
BP,GO:0050886,endocrine process,41/2867,105/18860,0.39047619047619,2.56867141694487,6.82458593340443,2.2978867532654903e-09,3.53870102917542e-07,2.49085630143429e-07,RPS6KA2/FGFR1/EDN1/C1QTNF3/OPRK1/CMA1/PCSK5/GATA3/POMC/TACR1/SPP1/ECRG4/CRHR1/CRY2/INHBA/WNK4/AVPR2/EDN2/ACE2/PPARG/EDNRB/ENPEP/AGTR1/CORIN/CRHBP/DAB2/BMP6/INHBB/AVPR1A/ANPEP/KCNK9/KISS1/C1QTNF1/LEP/FZD4/OXTR/F2R/HCAR2/MME/SUCNR1/AQP1,41
BP,GO:0106106,cold-induced thermogenesis,53/2867,154/18860,0.344155844155844,2.26396205817203,6.66825410417547,2.4448995431052403e-09,3.53870102917542e-07,2.49085630143429e-07,NR1H3/ADRB1/IGF2BP2/SCD/ZNF423/NOVA2/CAV1/PPARGC1A/QKI/LAMA4/NPR3/PRLR/ACADL/EPAS1/LEPR/MFAP2/ELOVL3/CXCR4/G0S2/OVOL2/ID1/THRA/NR1D1/PEMT/LPIN1/CD36/TLR4/HADH/NOVA1/SFXN5/PTH2R/LCN2/NOTCH1/IL18/ACSL1/ADAMTS5/PLCL2/ALPL/ABHD6/FABP5/ALDH1A1/ADRB2/FABP4/KSR2/LEP/CIDEA/HOXC10/OXTR/ADIPOQ/FFAR4/ADRB3/LGR4/EBF2,53
BP,GO:0060485,mesenchyme development,95/2867,347/18860,0.273775216138329,1.80097683165988,6.37609088951692,3.0225644034923203e-09,4.27306256019298e-07,3.00776604655968e-07,MEOX1/SOX8/SEMA3G/IGF1/FOXC1/ERBB3/TGFBR3/FERMT2/SEMA3A/FGFR1/EDN1/WNT11/TBX5/EFNB1/BAMBI/NRP1/SOX10/SIX4/FAM83D/RGCC/SFRP1/AMH/HPN/HOXA5/EZH2/ENG/GATA3/ACTA2/COL1A1/FOLR1/MDK/BMP5/QKI/PTK7/WNT5A/FN1/MARK1/TCF21/PKD2/TGFB3/MSX2/TWIST1/SOX4/SOX9/BMP2/OVOL2/TCF15/ALDH1A2/FOXA1/GSC/ROCK2/APLNR/SPRY2/EDNRB/IL6/LEF1/ACVRL1/SLC39A6/OSR1/SFRP2/NOTCH1/NCAM1/HMGA2/ADAM8/DAB2/SEMA3D/ADAMTS5/RADIL/FOXH1/ACTG2/MSX1/EOMES/TGFBR2/SPRY1/TBX20/HEY1/RET/TMEM100/MESP1/GREM1/TNXB/ZEB2/APLF/ZFPM2/CDH2/LRG1/ERBB4/RFLNB/WT1/SEMA4B/CYP26C1/SP6/S100A4/MIR342/NOTCH4,95
BP,GO:0006936,muscle contraction,100/2867,372/18860,0.268817204301075,1.76836151835308,6.33724238031698,3.36276180390587e-09,4.5427175568764e-07,3.19757350476664e-07,SCN4A/ATP1A2/PTGER3/ATP2B4/MYLK/ABCC9/IRAG1/EDN1/CACNA1S/DSP/P2RX6/MYL9/SNTA1/JPH1/TNNT1/COMP/CAV1/ACTA2/SGCA/CACNG1/MYH1/CRYAB/ADGRD1/FGF12/TACR1/CASQ2/KCNIP2/MYOT/ADRA1A/KCNJ8/SSPN/EDN2/TNNI3/KCNA5/CNN1/ACE2/HRC/TNNT3/CKMT2/MYH11/ROCK2/SPX/EDNRB/SCN2A/BIN1/TMOD1/SULF1/MYOCD/ATP1B1/STAC/ANK2/GSN/ADRA2A/KCNE4/UTRN/SCN3A/CACNA2D1/CLIC2/CACNA1D/KIT/MYL3/CCDC78/KCNJ3/LMOD1/ADORA1/TBX20/PGAM2/GPER1/CA3/SCN11A/NPNT/ADRB2/SCN9A/ADRA1B/NMUR1/ORMDL3/VEGFB/DES/NPPA/SCN4B/HTR1D/KCNE1/OXTR/F2R/SYNM/CAV3/KCNB2/ABAT/ADRA2C/DRD1/NPY2R/SULF2/SCN8A/ANXA6/MB/ASPH/PLN/RYR3/DMD/FXYD1,100
BP,GO:0048705,skeletal system morphogenesis,70/2867,232/18860,0.301724137931034,1.98483335939285,6.39045582416723,4.98124437183138e-09,6.58282272529629e-07,4.63358315137175e-07,CYP26B1/ALX4/FOXN3/FOXC1/COL11A1/FGFR3/FGFR1/HOXA9/GRHL2/TBX15/SIX4/EYA1/SFRP1/COMP/HOXA2/HOXA3/HOXA5/COL1A1/NKX3-2/SOX6/FGF6/MDFI/GHR/HYAL1/DLX2/PAPPA2/SATB2/HOXB8/MSX2/HOXA7/TWIST1/HOXC11/RUNX2/SOX9/TCF15/THRA/HOXD3/GSC/SOX5/PDGFRA/CHAD/TFAP2A/MMP13/BMPR1B/FBN2/OSR1/BMP6/NPR2/CBS/LOC102724560/DHRS3/ALPL/FLVCR1/MSX1/TGFBR2/POC1A/OSR2/FREM1/GREM1/COL3A1/HOXD4/PHOSPHO1/IRX5/SOX11/ATG9B/TSKU/RFLNB/PAX5/HOXA4/HOXB7,70
BP,GO:1990845,adaptive thermogenesis,56/2867,171/18860,0.327485380116959,2.15429866376207,6.41994672569522,6.87253723019374e-09,8.52615384129545e-07,6.00147450928841e-07,NR1H3/ADRB1/IGF2BP2/SCD/ZNF423/NOVA2/CAV1/PPARGC1A/QKI/LAMA4/NPR3/PRLR/ACADL/EPAS1/LEPR/MFAP2/ELOVL3/CXCR4/G0S2/OVOL2/ID1/THRA/NR1D1/PEMT/LPIN1/CD36/TLR4/HADH/NOVA1/SFXN5/PTH2R/LCN2/NOTCH1/IL18/ACSL1/ADAMTS5/PLCL2/S100B/ALPL/ABHD6/FABP5/ALDH1A1/CKB/ADRB2/FABP4/KSR2/LEP/CIDEA/HOXC10/OXTR/ADIPOQ/BMP8A/FFAR4/ADRB3/LGR4/EBF2,56
BP,GO:0002064,epithelial cell development,68/2867,226/18860,0.300884955752212,1.97931296319732,6.27091458571774,9.3086852114006e-09,1.10955877255106e-06,7.81007335074168e-07,TNMD/SOX8/VIM/RAPGEF3/PGR/GRHL2/ESR1/EZR/XBP1/PPP1R16B/VSIG1/TJP3/PTPRS/SIPA1L3/MET/HOXA5/ACTA2/NKX3-2/BMP5/AMOTL2/WNT5A/PROC/EPAS1/NR5A2/PROX1/SPDEF/SOX9/ID1/BCL11B/KDR/FOXA1/FOXJ1/RAB25/ROCK2/EDNRB/TMOD1/EPHA2/ADAMTSL4/ABCA12/NOTCH1/ST14/MARVELD2/BMP6/ROBO4/HOXB13/FZD5/CLDN1/TMEM79/DACT2/CLDN3/SPINT2/DNASE1L2/FASN/CDH2/INSM1/KDF1/SFN/CDH5/KCNE1/BHLHA15/ADIPOQ/CLDN5/PDE2A/WNT7B/SOX18/NOTCH4/CDSN/CEBPA,68
BP,GO:0070371,ERK1 and ERK2 cascade,90/2867,331/18860,0.27190332326284,1.7886629496816,6.12897222266471,1.12130505372773e-08,1.2622987817798e-06,8.88519501638058e-07,CX3CL1/IGF1/MARCO/FLT4/LMO3/PRKCZ/FGFR3/FERMT2/EDN1/GSTP1/EZR/TREM2/NRP1/XBP1/FAM83D/NDRG4/PYCARD/ACTA2/NHERF1/IL26/PDE8B/FGF1/FN1/ITGB1BP1/DUSP1/TEK/TNFSF11/DUSP4/ADRA1A/HCRTR1/INHBA/RAMP3/SOX9/BMP2/CCR7/RRAS/WNK4/KDR/ACE2/AKAP12/PDGFRA/CD36/SPRY2/KLF4/TLR4/CCL21/FGF2/GAREM1/ERBB2/EPHA2/ACKR3/TNIP1/TPBG/EGFR/NOTCH1/DAB2/ANGPT1/FGFR4/DDR2/NEK10/SPRY1/NPY5R/BMPER/GPER1/NDRG2/NPNT/CDK1/CAVIN3/PTGER4/CCL11/RASGRP1/VEGFB/TBC1D10C/JUN/ERBB4/NRXN1/GPBAR1/MTURN/ADIPOQ/F2R/IQGAP3/FFAR4/PLA2G2A/ALKAL2/SIRPA/MIR126/MIR23A/MIF/ARHGAP8/APELA,90
BP,GO:0007409,axonogenesis,118/2867,472/18860,0.25,1.64457621206836,6.00462975253318,1.37363957433486e-08,1.46497455655818e-06,1.03118095469459e-06,PLXND1/MYCBP2/TNFRSF12A/CELSR3/SEMA3G/FYN/CDH1/FSTL4/CYFIP2/NGFR/EPHA8/SEMA3A/CELSR1/PAK3/EDN1/IGSF9/EFNB1/ABLIM1/NRP1/NEFH/METRN/NOVA2/PTPRS/HOXA2/EPHB6/PTPRZ1/GATA3/CXCL12/UNC5B/WNT3/UST/PTK7/WNT5A/FN1/TNR/ARTN/PLPPR4/B4GALT6/SPP1/TNN/MYOT/PARD6B/NDP/EFNB2/EDN2/BCL11B/MAP1B/MATN2/CHL1/LRP4/PLXNC1/STXBP1/TUBB2B/BMPR1B/NTRK3/CDH11/ERBB2/CELSR2/CRABP2/EFNA3/BOC/GFRA3/NFIB/NTRK2/HMCN2/NOTCH1/NCAM1/FEZ1/ANK3/SEMA3D/ROBO4/ROBO3/UCHL1/CHODL/NPR2/KALRN/S100B/BRSK1/LMX1A/TRIM46/RET/ARHGEF40/KIFC2/KIF5C/SCN11A/ZEB2/ALCAM/MAP6/PTPRM/CDK5R1/CDH4/NRXN1/RGMA/NDN/TSKU/EPHA10/SLIT3/EFNA5/SLITRK6/NELL2/SEMA4B/FLRT2/PTCH1/SLITRK2/WNT7B/COL25A1/RELN/FAT4/EVL/LAMA2/POTEI/KEL/SLC9A6/L1CAM/PLXNA4/POTEJ/EFNA4/TUBB3,118
BP,GO:0030323,respiratory tube development,63/2867,207/18860,0.304347826086957,2.00209277990931,6.13800119667203,1.99557573315057e-08,1.98870571833153e-06,1.39983008718845e-06,IGF1/FLT4/TNC/CELSR1/TRAF4/FGFR1/PGR/GRHL2/WNT11/TBX5/PCSK5/ESRP2/HOXA5/AGR2/PTK7/FGF1/WNT5A/ITGB6/EPAS1/HSD11B1/PROX1/TCF21/TGFB3/SPDEF/SOX9/BMP2/ID1/THRA/EDN2/KLF2/KDR/FOXP2/ALDH1A2/FOXA1/FOXJ1/PDGFRA/SPRY2/RBP4/FGF2/FGF7/MYOCD/ABCA12/GPC3/NFIB/NOTCH1/HMGA2/SLC7A11/THRB/DNAAF1/SIM2/PKDCC/TGFBR2/SPRY1/DNAAF3/COL3A1/ZFPM2/SLC23A1/SOX11/CCBE1/WNT7B/MME/ATXN1L/CEBPA,63
BP,GO:0001935,endothelial cell proliferation,62/2867,204/18860,0.303921568627451,1.99928872839683,6.07582160754693,2.73133194742639e-08,2.63551855688969e-06,1.85511518233722e-06,TNMD/FLT4/NGFR/TIE1/FGFR1/NRP1/XBP1/PPP1R16B/FLT1/RGCC/CAV2/CAV1/CCL24/ENG/CXCL12/MDK/THBS4/WNT5A/AKT3/F3/PROX1/ITGB1BP1/TEK/NR4A1/STAT5A/KDR/DLL4/ALDH1A2/PPARG/APLNR/SULF1/FGF2/ACVRL1/FGF7/CDH13/EPHA2/HSPG2/AGTR1/BMP6/BMPER/VSTM4/JCAD/IGF2/ATOH8/ZEB2/LRG1/COL8A2/SCG2/CCL11/EGFL7/MMRN2/PTPRM/VEGFB/CD34/LEP/FUT2/JUN/CXCR3/MIR342/MIR126/MIR23A/APELA,62
BP,GO:0048762,mesenchymal cell differentiation,77/2867,278/18860,0.276978417266187,1.82204846516927,5.84630947440876,5.43848779908932e-08,4.132570916333e-06,2.90887538201291e-06,SOX8/SEMA3G/IGF1/FOXC1/TGFBR3/FERMT2/SEMA3A/FGFR1/EDN1/WNT11/TBX5/EFNB1/BAMBI/NRP1/SOX10/FAM83D/RGCC/SFRP1/HPN/EZH2/ENG/GATA3/COL1A1/FOLR1/MDK/BMP5/QKI/WNT5A/FN1/MARK1/TCF21/TGFB3/MSX2/TWIST1/SOX9/BMP2/OVOL2/ALDH1A2/FOXA1/GSC/ROCK2/SPRY2/EDNRB/IL6/LEF1/SLC39A6/OSR1/SFRP2/NOTCH1/NCAM1/HMGA2/ADAM8/DAB2/SEMA3D/RADIL/MSX1/EOMES/TGFBR2/SPRY1/TBX20/HEY1/RET/TMEM100/GREM1/TNXB/ZEB2/APLF/CDH2/LRG1/ERBB4/RFLNB/SEMA4B/CYP26C1/SP6/S100A4/MIR342/NOTCH4,77
